,Time,Sender,Sender_type,Content
266,0:04:38,shin_gouki97,subscriber,shin_gouki97 subscribed with Twitch Prime. They've subscribed for 3 months! 
267,0:04:39,Eythax,subscriber,Jl ksos
268,0:04:44,Titaii2,subscriber,@Titatitutu ?
269,0:04:44,Kutsumae,subscriber,@Sardoche Musique ?
270,0:04:45,linkseff,subscriber,Dis pas encore nimp pls sardMyw sardMyw sardMyw
271,0:04:48,goldenpantts,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
272,0:04:48,KyrieYN,subscriber,JL SARD
273,0:04:48,d_carno,subscriber,d_carno subscribed with Twitch Prime. They've subscribed for 7 months; currently on a 5 month streak! 
274,0:04:49,boudiouuuu,subscriber,groovy la musique
275,0:04:51,ElotreX24,subscriber,sardAYAYA sardAYAYA sardAYAYA
276,0:04:53,jeanmichleprophete,subscriber,J’y crois !
277,0:04:56,Crash59136_,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
278,0:05:00,DeusKiwi,subscriber,HahaThink HahaThink
279,0:05:01,RooiLink,subscriber,@eythax pourquoi dit nous ?
280,0:05:01,JLFakemonster,subscriber,JL SARD inchallah
281,0:05:04,shin_gouki97,subscriber,Yo !
282,0:05:08,Wolfyrme,subscriber,Et bonsoir la France HeyGuys
283,0:05:09,Witrem,subscriber,Witrem subscribed with Twitch Prime. 
284,0:05:13,HAARAJ,subscriber,Bien le bonsoir les amis
285,0:05:15,itchys_,subscriber,sardPopcorn
286,0:05:15,shin_gouki97,subscriber,Me suis abonné.
287,0:05:15,Nateooos,subscriber,bahhaahahh fake
288,0:05:18,ronfleeex,subscriber,Les JL pire commu ever
289,0:05:20,Djokaro,subscriber,yo
290,0:05:25,LasTen40,subscriber,sardYop
291,0:05:26,SoonVirus,subscriber,musique ?
292,0:05:28,nicolas021110,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
293,0:05:31,Titaii2,subscriber,@Titatitutu J'ai pas compris
294,0:05:32,d_carno,subscriber,sardYop sardYop sardYop
295,0:05:35,Jvek_,subscriber,JL Sard sardMask j y croive sardMyw sardMyw sardMyw
296,0:05:36,Lord_Lucky,subscriber,C'est quoi ça encore JL ?
297,0:05:36,caor40,subscriber,hello!
298,0:05:43,linkseff,subscriber,50% de twitch c’est des mecs seuls ou au chômage donc la croisade contre jl n’a aucun sens
299,0:05:43,Totamaa,subscriber,coucou!
300,0:05:43,lord_kovacs,subscriber,une communauté de faux chômeurs ; en réalité collégien mmmmmmmm l'hypocrisie level 1000
301,0:05:46,Badjito,subscriber,Badjito subscribed at Tier 1. They've subscribed for 10 months! sah quel plaisir <3 ; merci d'être là au quotidien SARDLOVE
302,0:05:50,Netizen29,subscriber,JL = JobLess
303,0:05:50,snackevenum,subscriber,bonne année tout le monde sardAYAYA PartyPopper
304,0:05:56,KatEtArdha,subscriber,KatEtArdha subscribed with Twitch Prime. They've subscribed for 12 months! 
