,Time,Sender,Sender_type,Content
341,0:08:25,Kambrass,subscriber,Tu m'as sauve; j'étais sur le point de couper tout et dormir et j'ai vu la sainte notif
342,0:08:25,deyvartv,none,@Sardoche ça me trigger le son c'est quoi :c ou je reconnais des notes d'autres mélodie :/
343,0:08:25,Fonggas_Wowee,subscriber,ça attaque la corde sensible
344,0:08:27,bwhet,none,@sardoche A quand River Flow in you pour le dieu français ??
345,0:08:28,nicooooooooow,none,12 ans de piano
346,0:08:29,assimix,premium,jsuis très chaud pour un stream piano **
347,0:08:29,geremaillard,none,avec un ptit thé on est ienb
348,0:08:31,Ratoushi,none,oh mais c'est minecraft
349,0:08:32,Kaiishu,none,que de souvenir cette mélodie
350,0:08:33,idsl29,premium,Elle est pas dans minecraft
351,0:08:39,ekiaufour,none,cocou
352,0:08:43,frooz49,subscriber,toujours pas dodo bonjour l'insomnie 😭😭
353,0:08:50,PulseInsanity,none,LuvPeekR
354,0:08:50,zeroeloel,none,Joyeuse saint Valentin les potes vive la yes life Kappa
355,0:08:52,Fonggas_Wowee,subscriber,pouah je viens de me faire des grilled cheese je suis refais
356,0:08:53,Paranor_,none,J'ai envie de faire une mine là
357,0:08:54,Ratoushi,none,C'est un remix piano et en plus lent
358,0:08:55,Chaawie,subscriber,Faudrait que tu nous fasse le Theme de GTA 3 un jour; il est parfait à cover sardAYAYA
359,0:08:58,juliopaquito,none,Salut Sard; je voudrais commencer le piano; des conseils ?
360,0:08:59,dgarinho,none,600 viewers quel plaisir
361,0:09:01,Saulica,subscriber,sanwaHI sanwaHI
362,0:09:04,pgx47330,none,quézac c est l eau dans mincraft promis
363,0:09:06,nispace_,premium,@Sardoche Ta troll l'accord a un moment ouais Kappa
364,0:09:09,RpgOtoko,premium,je peut enfin parler sur le chat :(
365,0:09:09,Showness,none,A quand le prochain stream piano ?
366,0:09:12,Nephelioon,subscriber,Entre Sweden et Vergazon City je sais pas quel thème me rend le plus nostalgique
367,0:09:14,Kodeeeeee,subscriber,Kodeeeeee subscribed at Tier 1. They've subscribed for 16 months! J'ai des souvenirs sombres quand j'écoute cette musique monkaS
368,0:09:16,samiheritier,none,"met ""main theme"" de fairy tail"
369,0:09:16,Unlocky4,subscriber,LUL
370,0:09:17,politicallyincorrect314,subscriber,mdrrrr
371,0:09:17,nikobelic988,none,je suis très très content
372,0:09:18,Aly_,none,oh mon dieu cette musique tellement de souvenirs
373,0:09:21,unicornmistercupcake,subscriber,Hahahaha; quel génie
374,0:09:21,Chaawie,subscriber,LUL
375,0:09:21,Yurryh,subscriber,Balkany enfin libérable
376,0:09:22,ekiaufour,none,mais tu va joué a MC ;;
377,0:09:22,jams_off,none,LUL
378,0:09:25,Fracax,none,HeyGuys
379,0:09:25,TerHenji,subscriber,LUL LUL
380,0:09:26,Ratoushi,none,Balkany t'es un bon mainteant erentre en prison stp mdrr
381,0:09:26,Fonggas_Wowee,subscriber,mdr
382,0:09:26,geremaillard,none,LUL
383,0:09:32,banbitoss,premium,@Balkany IL EN MANQUE
384,0:09:33,ExxonixX,premium,i'm not crying ; you're crying
385,0:09:35,arkilax,none,LUL
386,0:09:36,UnfallenTV,subscriber,@sardoche Du coup on part sur quoi ce matin ? 🙃
387,0:09:42,Tyhhox,none,quel khey ce Patoche
388,0:09:42,bwhet,none,@sardoche; A quand River flow in You pour le dieu Français ?
389,0:09:43,danger_tender,none,bonjour
390,0:09:47,Kodeeeeee,subscriber,pas de pot
391,0:09:54,nikobelic988,none,bonjour grain de riz
392,0:09:55,iBouffeurDeNemsi,none,mdr @unfallentv
393,0:09:56,Saulica,subscriber,t'a essayé le jeu Satisfactory ? @Sardoche
394,0:10:00,Ladon1,moderator,@Sardoche tu l'as trouvé où la partition ?
395,0:10:06,Le_maitre_serein,subscriber,Patoche qui redistribue la cagnotte Tipee
396,0:10:08,sakri_,subscriber,Tu fais des streams tout les matins ou t'es juste dans la sauce ?
397,0:10:08,flexdh,none,ALLO
398,0:10:11,Kambrass,subscriber,Il commence a pleuvoir partons
399,0:10:13,YannDeydos,premium,Quoi de prévu pour ce petit live ? :D
400,0:10:16,medelax91,none,Sardoche essaye le subliminal pour grandir (ne me ban pas stp je ne dit pas ça pour me moquer de toi je te dit ça avec sérieux)
401,0:10:17,KojouTV,subscriber,Enorme update
402,0:10:19,danger_tender,none,go trouver quelqu'un pour sardoche
403,0:10:24,nispace_,premium,@Sardoche non c'est revenue a la mode + update
404,0:10:27,Saulica,subscriber,grosse update
405,0:10:27,ekiaufour,none,y'a eu maj
406,0:10:30,nicooooooooow,none,Satisfactory
407,0:10:32,grochiche,subscriber,il a l'air sympa
408,0:10:32,Kodeeeeee,subscriber,Salut @ladon1 sardWeeb
409,0:10:33,doomhammer80,none,go !
410,0:10:34,ActuelIe,none,Balkany le Roi des roublards
411,0:10:35,KojouTV,subscriber,Seulement disponible sur leur (ptr)
412,0:10:38,Ladon1,moderator,@Kodeeeeee coucou
413,0:10:47,Kodeeeeee,subscriber,ça va bien?
414,0:10:47,MonomaXYZ,none,LUL
415,0:10:50,stormaflux,none,Yooo ! ponceCRI ponceCRI
416,0:10:50,ekiaufour,none,v'a s'y c'est trés bien !!
417,0:10:51,nicooooooooow,none,Satisfactory >>>
418,0:10:52,Fundalis,subscriber,LUL
419,0:10:55,Fonggas_Wowee,subscriber,mdr
420,0:10:58,z0spy,premium,mais quelle génie
421,0:10:59,Zaardoz,none,Coucou !
422,0:11:00,Chaawie,subscriber,Tous le monde peut donner 100 balles c'est evident que c'est pas lui Kappa
423,0:11:05,Playworkx,none,c'est bon tu peux repartir dormir tu as fait ta journée
424,0:11:05,timolegentil,premium,investisseur
425,0:11:08,abfish,none,c'est le rdv des leve tot ou couche tard ?
426,0:11:10,Le_maitre_serein,subscriber,Faut donner plus pour qu'on croit que c'est bien toi
427,0:11:10,n_a_n_a_r,premium,n_a_n_a_r subscribed at Tier 1. 
428,0:11:11,Kodeeeeee,subscriber,il a pas lu mon Resub FeelsBadMan
429,0:11:12,ElVorg,none,alors t'as stop dofus?? tu t'es arrêté ou?
