,Time,Sender,Sender_type,Content
224,0:06:08,feuilleslim,none,gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM gibsyGASM
225,0:06:08,Naoan77,none,Cucklord
226,0:06:08,yoan1111,none,Sah quel plaisir
227,0:06:09,DemonHunterRaven,none,LuvBlush LuvBlush LuvBlush LuvBlush
228,0:06:09,Fonggas_Wowee,subscriber,LUL
229,0:06:10,Krausit,none,ah ah!!!!
230,0:06:10,kulbuth,none,OHHH GAEEL
231,0:06:10,Cocoblack93,none,Comme on se retrouve
232,0:06:10,Aye_am_anidiot,none,Pendant la Toussain ?
233,0:06:10,Akiyumaa,subscriber,sardAYAYA sardAYAYA sardAYAYA
234,0:06:10,Nespose,none,ô/ O/
235,0:06:11,kitsukaze,none,nnoooonnn chuuttt
236,0:06:11,Bloodsafe,subscriber,quel génie
237,0:06:11,chouwquette,subscriber,LUL
238,0:06:12,Philf33d,subscriber,LUL
239,0:06:12,Racc00namaTaTa,none,sardLove
240,0:06:13,dakuo_okami,none,Merci pour LuvOops @durumus
241,0:06:14,ShadowzGamerV,none,à quand une game de satisfactory ce jeu FANTASTIQUE ?
242,0:06:14,Legend_Of_Kay,subscriber,Les âmes sombres <3
243,0:06:15,Crapps007,subscriber,sardLUL sardLUL sardLUL
244,0:06:16,PulseInsanity,none,cxxHoy cxxHoy cxxStratospherique
245,0:06:16,Hiakin,none,LUL
246,0:06:17,Foaust,bits,Jebaited Jebaited
247,0:06:19,ahhzbe,none,j'ai envie de te sucer
248,0:06:19,rosario_rl,none,rosario_rl subscribed at Tier 1. They've subscribed for 11 months! 
249,0:06:19,FAYLIU,subscriber,FAYLIU subscribed at Tier 1. They've subscribed for 4 months! Salut!
250,0:06:20,dannyasse,subscriber,toujours là le Gaëlle
251,0:06:22,exomine__,none,C’est une fête commerciale de toute façon Kappa
252,0:06:24,Norraxas,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
253,0:06:27,Fonggas_Wowee,subscriber,amènes des chocolats a gael
254,0:06:29,Nezuko_LoL,subscriber,Ne cris plus jamais comme ça d'un coup si je crève tu sera sur mon pc on te retrouveras @Sardoche
255,0:06:30,mrs_cosplay_maniac,premium,vive le céliba x)
256,0:06:30,Cocoblack93,none,Quel frère
257,0:06:30,VicenteSimplement,none,Tu jouais pas déja ce matin toi ? ^^
258,0:06:32,shidori__,premium,Fidèle ce Gael
259,0:06:37,Bloodsafe,subscriber,T'as changé de casque @Sardoche ?
